PC,Region,Corr_Visual,Pval_Visual,Corr_Auditory,Pval_Auditory,Corr_Interaction,Pval_Interaction,region_vis_prob,region_vis_prob_va
PC_1,7Networks_LH_Vis_5,-0.147966453294199,0.03559451016488841,-0.14065832652934973,0.07698698274976387,0.019992259167090444,0.794624547980943,0.95,0.625
PC_1,7Networks_LH_Vis_6,0.147966453294199,0.03559451016488841,0.14065832652934968,0.07698698274976387,-0.019992259167090458,0.794624547980943,0.95,0.625
PC_1,7Networks_LH_Vis_7,-0.14796645329419905,0.03559451016488809,-0.14065832652934973,0.07698698274976387,0.01999225916709043,0.794624547980943,0.95,0.625
PC_1,7Networks_LH_Vis_8,-0.14796645329419902,0.03559451016488809,-0.14065832652934973,0.07698698274976387,0.019992259167090444,0.794624547980943,0.95,0.625
PC_1,7Networks_LH_Vis_9,0.14796645329419902,0.03559451016488809,0.14065832652934973,0.07698698274976387,-0.019992259167090444,0.794624547980943,0.95,0.625
PC_1,7Networks_LH_SomMot_1,-0.14796645329419902,0.03559451016488809,-0.1406583265293497,0.07698698274976387,0.01999225916709043,0.794624547980943,0.38888888888888884,0.9333333333333332
PC_1,7Networks_LH_SomMot_2,-0.147966453294199,0.03559451016488841,-0.1406583265293497,0.07698698274976387,0.019992259167090437,0.794624547980943,0.38888888888888884,0.9333333333333332
PC_1,7Networks_LH_SomMot_3,0.14796645329419902,0.03559451016488809,0.14065832652934973,0.07698698274976387,-0.01999225916709045,0.794624547980943,0.38888888888888884,0.9333333333333332
PC_1,7Networks_LH_SomMot_4,0.14796645329419902,0.03559451016488809,0.14065832652934968,0.07698698274976387,-0.019992259167090444,0.794624547980943,0.38888888888888884,0.9333333333333332
PC_1,7Networks_LH_SomMot_5,0.14796645329419902,0.03559451016488809,0.14065832652934973,0.07698698274976387,-0.019992259167090444,0.794624547980943,0.38888888888888884,0.9333333333333332
PC_1,7Networks_LH_SomMot_6,0.14796645329419902,0.03559451016488809,0.14065832652934973,0.07698698274976387,-0.019992259167090444,0.794624547980943,0.38888888888888884,0.9333333333333332
PC_1,7Networks_LH_DorsAttn_Post_1,-0.147966453294199,0.03559451016488841,-0.14065832652934968,0.07698698274976387,0.019992259167090423,0.794624547980943,0.75,0.5
PC_1,7Networks_LH_DorsAttn_Post_2,0.14796645329419902,0.03559451016488809,0.14065832652934973,0.07698698274976387,-0.019992259167090437,0.794624547980943,0.75,0.5
PC_1,7Networks_LH_DorsAttn_Post_3,0.14796645329419902,0.03559451016488809,0.1406583265293497,0.07698698274976387,-0.01999225916709045,0.794624547980943,0.75,0.5
PC_1,7Networks_LH_DorsAttn_Post_4,0.147966453294199,0.03559451016488841,0.14065832652934968,0.07698698274976387,-0.019992259167090437,0.794624547980943,0.75,0.5
PC_1,7Networks_LH_DorsAttn_Post_5,0.14796645329419902,0.03559451016488809,0.14065832652934968,0.07698698274976387,-0.01999225916709043,0.794624547980943,0.75,0.5
PC_1,7Networks_LH_DorsAttn_Post_6,0.147966453294199,0.03559451016488841,0.14065832652934973,0.07698698274976387,-0.019992259167090444,0.794624547980943,0.75,0.5
PC_1,7Networks_LH_DorsAttn_PrCv_1,0.14796645329419902,0.03559451016488809,0.14065832652934968,0.07698698274976387,-0.019992259167090444,0.794624547980943,0.75,0.5333333333333333
PC_1,7Networks_LH_DorsAttn_FEF_1,0.147966453294199,0.03559451016488841,0.1406583265293497,0.07698698274976387,-0.019992259167090458,0.794624547980943,0.75,0.35714285714285715
PC_1,7Networks_LH_SalVentAttn_ParOper_1,-0.14796645329419902,0.03559451016488809,-0.14065832652934968,0.07698698274976387,0.01999225916709045,0.794624547980943,0.4,0.875
PC_1,7Networks_LH_SalVentAttn_FrOperIns_1,-0.147966453294199,0.03559451016488841,-0.14065832652934973,0.07698698274976387,0.01999225916709045,0.794624547980943,0.4,0.0
PC_1,7Networks_LH_SalVentAttn_FrOperIns_2,-0.147966453294199,0.03559451016488841,-0.14065832652934973,0.07698698274976387,0.019992259167090465,0.794624547980943,0.4,0.0
PC_1,7Networks_LH_SalVentAttn_PFCl_1,-0.14796645329419902,0.03559451016488809,-0.14065832652934968,0.07698698274976387,0.019992259167090437,0.794624547980943,0.4,0.0
PC_1,7Networks_LH_SalVentAttn_Med_1,-0.14796645329419902,0.03559451016488809,-0.14065832652934968,0.07698698274976387,0.01999225916709045,0.794624547980943,0.4,0.8125
PC_1,7Networks_LH_SalVentAttn_Med_2,-0.14796645329419902,0.03559451016488809,-0.14065832652934973,0.07698698274976387,0.01999225916709043,0.794624547980943,0.4,0.8125
PC_1,7Networks_LH_SalVentAttn_Med_3,0.14796645329419902,0.03559451016488809,0.14065832652934973,0.07698698274976387,-0.019992259167090444,0.794624547980943,0.4,0.8125
PC_1,7Networks_LH_Limbic_OFC_1,-0.147966453294199,0.03559451016488841,-0.14065832652934968,0.07698698274976387,0.019992259167090437,0.794624547980943,0.35,0.875
PC_1,7Networks_LH_Limbic_TempPole_1,-0.14796645329419902,0.03559451016488809,-0.14065832652934968,0.07698698274976387,0.019992259167090437,0.794624547980943,0.35,0.8823529411764706
PC_1,7Networks_LH_Limbic_TempPole_2,-0.147966453294199,0.03559451016488841,-0.14065832652934968,0.07698698274976387,0.019992259167090444,0.794624547980943,0.35,0.8823529411764706
PC_1,7Networks_LH_Cont_Par_1,0.14796645329419902,0.03559451016488809,0.14065832652934968,0.07698698274976387,-0.019992259167090472,0.794624547980943,0.5,0.43749999999999994
PC_1,7Networks_LH_Cont_PFCl_1,-0.14796645329419902,0.03559451016488809,-0.14065832652934973,0.07698698274976387,0.019992259167090444,0.794624547980943,0.5,0.3125
PC_1,7Networks_LH_Cont_pCun_1,0.14796645329419902,0.03559451016488809,0.1406583265293497,0.07698698274976387,-0.019992259167090437,0.794624547980943,0.5,0.4285714285714286
PC_1,7Networks_LH_Cont_Cing_1,-0.147966453294199,0.03559451016488841,-0.14065832652934973,0.07698698274976387,0.019992259167090444,0.794624547980943,0.5,0.39999999999999997
PC_1,7Networks_LH_Default_Temp_1,-0.14796645329419902,0.03559451016488809,-0.14065832652934968,0.07698698274976387,0.01999225916709043,0.794624547980943,0.4,0.7499999999999999
PC_1,7Networks_LH_Default_Temp_2,-0.14796645329419902,0.03559451016488809,-0.14065832652934968,0.07698698274976387,0.019992259167090444,0.794624547980943,0.4,0.7499999999999999
PC_1,7Networks_LH_Default_Par_1,0.14796645329419902,0.03559451016488809,0.1406583265293497,0.07698698274976387,-0.019992259167090444,0.794624547980943,0.45,0.8125
PC_1,7Networks_LH_Default_Par_2,0.14796645329419905,0.03559451016488809,0.1406583265293497,0.07698698274976387,-0.019992259167090437,0.794624547980943,0.45,0.8125
PC_1,7Networks_LH_Default_PFC_1,-0.14796645329419902,0.03559451016488809,-0.14065832652934968,0.07698698274976387,0.01999225916709043,0.794624547980943,0.35,0.5625
PC_1,7Networks_LH_Default_PFC_2,-0.14796645329419902,0.03559451016488809,-0.14065832652934968,0.07698698274976387,0.01999225916709045,0.794624547980943,0.35,0.5625
PC_1,7Networks_LH_Default_PFC_3,-0.14796645329419902,0.03559451016488809,-0.1406583265293497,0.07698698274976387,0.019992259167090444,0.794624547980943,0.35,0.5625
PC_1,7Networks_LH_Default_PFC_4,-0.14796645329419902,0.03559451016488809,-0.1406583265293497,0.07698698274976387,0.019992259167090437,0.794624547980943,0.35,0.5625
PC_1,7Networks_LH_Default_PFC_5,0.14796645329419902,0.03559451016488809,0.14065832652934968,0.07698698274976387,-0.019992259167090437,0.794624547980943,0.35,0.5625
PC_1,7Networks_LH_Default_PFC_6,0.147966453294199,0.03559451016488841,0.14065832652934973,0.07698698274976387,-0.019992259167090444,0.794624547980943,0.35,0.5625
PC_1,7Networks_LH_Default_PFC_7,0.147966453294199,0.03559451016488841,0.1406583265293497,0.07698698274976387,-0.019992259167090458,0.794624547980943,0.35,0.5625
PC_1,7Networks_LH_Default_pCunPCC_1,-0.14796645329419902,0.03559451016488809,-0.14065832652934973,0.07698698274976387,0.01999225916709043,0.794624547980943,0.38888888888888884,0.5333333333333333
PC_1,7Networks_LH_Default_pCunPCC_2,-0.147966453294199,0.03559451016488841,-0.14065832652934973,0.07698698274976387,0.019992259167090437,0.794624547980943,0.38888888888888884,0.5333333333333333
